Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL1914708,0,[N-]=[N+]=NCc1cc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc(N=[N+]=[N-])c1,IC50,=,17,nM,CHEMBL1921156,Inhibition of human recombinant HDAC8 using Fluor de Lys as substrate,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None
CHEMBL235842,0,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,IC50,>,10000,nM,CHEMBL947928,Inhibition of HDAC8,B,BAO_0000357,single protein format,None,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1143185,1,Scientific Literature,Bioorg Med Chem Lett,2008,None
CHEMBL1958440,0,O=C(/C=C/c1nc2ccccc2o1)NO,ED50,=,573,nM,CHEMBL1961036,Inhibition of human recombinant HDAC8 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None
CHEMBL1213492,0,,,,,,,,,,,,,,,,,,,,,
CHEMBL1213539,2,O=C(O)CCCCCCC(=O)Nc1ccc([C@H]2O[C@@H](CSc3nc(-c4ccccc4)c(-c4ccccc4)o3)C[C@@H](c3ccc(CO)cc3)O2)cc1,Ki,=,750,nM,CHEMBL1216989,Activity of human HDAC8,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1212811,1,Scientific Literature,Nat Chem Biol,2010,None
CHEMBL571140,1,CCC(=O)CCSC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,IC50,>,10000,nM,CHEMBL1049816,Inhibition of human recombinant HDAC8 after 30 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1156016,1,Scientific Literature,J Med Chem,2009,None
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,
CHEMBL96051,0,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,IC50,=,300,nM,CHEMBL1267839,Inhibition of HDAC8 by in vitro deacetylation assay,B,BAO_0000357,single protein format,None,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1255383,1,Scientific Literature,Nat Chem Biol,2010,None
CHEMBL427135,0,O=C(CS)NCCCCCCNC(=O)Nc1ccccc1,IC50,=,13900,nM,CHEMBL889423,Inhibition of His-tagged HDAC8 expressed in Sf9 cells by fluorescence-based assay,B,BAO_0000219,cell-based format,None,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1145385,1,Scientific Literature,J Med Chem,2007,CHEMBL3308860
CHEMBL2337868,0,Cc1cccc(-c2ccc(Cn3cccc(O)c3=S)cc2)c1,IC50,=,2496,nM,CHEMBL3707509,Fluor de Lys Assay: Fluor de Lys is a fluorescence based HDAC activity assay comprising a combination of fluorogenic Histone deAcetylase Lysyl substrate and a developer. The kit is a highly sensitive and convenient alternative to radiolabeled,,,,,,,,,,,,,,
CHEMBL3628323,2,CC(=O)SCC/C=C/[C@@H]1CC(=O)N[C@H](C(C)C)C(=O)N[C@H](Cc2cn(C)cn2)C(=O)N[C@H](C(C)C)c2cn(nn2)CC(=O)O1,IC50,=,1620,nM,CHEMBL3632101,Inhibition of HDAC8 (unknown origin) incubated for 1 hr by fluor de lys substrate based fluorescence method,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL3627628,1,Scientific Literature,Bioorg Med Chem,2015,None
CHEMBL1812335,0,N[C@H](Cc1ccc(Cl)cc1Cl)C(=O)N1Cc2ccccc2C1,IC50,=,90,nM,CHEMBL1816689,Inhibition of N terminal hexahistidine-tagged human HDAC8 expressed in Sf9 cells after 1 hr by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,CHEMBL3192,Histone deacetylase 8,Homo sapiens,SINGLE PROTEIN,CHEMBL1811912,1,Scientific Literature,Bioorg Med Chem,2011,CHEMBL3308860
CHEMBL471041,0,,,,,,,,,,,,,,,,,,,,,
